death,name,role
1986,穆祥林,相声演员
1986,郭少衡,京剧老生
1987,沈传锟,昆曲净角
1987,胡盛岩,京剧老生
1988,潘璟琍,黄梅戏旦角
1990,白登云,京剧鼓师
1992,荀令香,京剧旦角
1994,杨立德,山东快书演员
1996,陶钝,曲艺研究家
1997,夏韵龙,京剧净角
1997,王决,曲艺编辑家
1998,李庆春,京剧文武大小花脸
1999,刘韵成,京剧武生
1999,张世桐,京剧净角
2000,管韵华,京剧老生
2005,茹元俊,京剧武生
2005,赵春芳,沪剧生角
2005,杨沔,京剧研究家
2005,杨满元,秦腔板胡琴师
2005,蔡瑶铣,昆曲演员
2006,赵铮,河南坠子演员
2006,王基笑,豫剧作曲家
2006,王官福,川剧鼓师
2007,邢竹琴,越剧旦角
2007,陈安业,川剧作曲家
2007,魏云,豫剧旦角
2008,熊承旭,京剧琴师
2008,董文华,京剧武生
2008,王华运,湘剧小生
2008,范振钰,相声演员
2008,唐云峰,川剧丑角
2009,翁意福,大数子演员
2009,马少波,京剧剧作家
2009,李真,扬州评话演员
2009,陆松龄,京剧琴师
2010,孙镇业,山东快书演员
2010,陶蓉,相声演员
2010,李加成,京剧票友
2010,筱高雪樵,京剧武生
2010,毕高修,京剧小生
2010,倪国桢,川剧剧作者
2011,孟筱伯,京剧老生
2011,陈光耀,潮剧老生
2011,王学义,曲艺演员
2012,汪正华,京剧老生
2012,冯霞,评剧导演
2012,陆耀良,苏州评话演员
2012,郭砚芳,评剧旦角
2012,筱声咪,滑稽戏演员
2013,筱俊亭,评剧旦角
2013,王保易,秦腔须生
2013,俞丽萍,苏州弹词演员
2013,刘景荣,京剧票友
2013,马健,曲艺琴师
2013,黄天麟,京剧琴师
2014,洪云艳,京剧旦角
2014,迟云峰,山东快书演员
2015,闵玲娣,京剧老旦
2015,花月仙,评剧旦角
2015,贠宗翰,秦腔须生
2015,刘立福,评书演员
2016,江新蓉,京剧旦角
2016,彭延坤,长沙弹词演员
2016,回婉华,相声演员
2016,李信堂,扬州评话演员
2016,马长礼,京剧老生
1882,梅巧玲,京剧青衣
1905,刘兆奎,昆曲鼓师
1918,李寿峰,京剧老生
1922,张文斌,京剧丑角
1927,姚玉英,京剧青衣
1929,仲盛珍,京剧花旦
1933,裘桂仙,京剧净角
1935,时玉奎,京剧净角
1935,叶春善,京剧教育家
1937,甄洪奎,京剧老生
1945,周瑞安,京剧武生
1966,马连良,京剧老生
1966,苏育民,秦腔小生兼须生
1967,于连泉,京剧花旦
1967,小白玉霜,评剧旦角
1967,杨宝忠,京剧老生
1968,荀慧生,京剧旦角
1968,王玉山,晋剧旦角
1968,唐彬如,川剧净角
1969,罗盛远,京剧净角
1970,王燮元,京剧鼓师
1973,李正敏,秦腔旦角
1974,诸茹香,京剧花旦
1975,华传浩,昆曲丑角
1977,徐兰沅,京剧琴师
1977,刘梅村,吕剧作家
1980,楚岫云,粤剧正印花旦
1980,梁连柱,京剧净角
1982,靓少佳,粤剧武生
1984,丁赛君,越剧小生
1984,邢威明,京剧老生
1985,彭俐侬,湘剧旦角
1986,雪艳琴,京剧旦角
1986,沈玉斌,京剧琴师
1988,马彦祥,戏曲导演
1988,周企何,川剧丑角
1989,任剑辉,粤剧文武生
1991,贯盛习,京剧老生
1992,凤凰女,粤剧正印花旦
1994,蒙显德,山东快书演员
1994,齐信英,评书演员
1994,毛世来,京剧旦角
1994,阿甲,戏曲导演兼理论家
1995,郭文龙,京剧教师
1996,陈书舫,川剧旦角
1998,迟世恭,京剧老生
1999,谭世秀,京剧鼓师
1999,从鸿逵,京剧票友
1999,桂遇秋,黄梅戏史论研究者
2000,萧盛萱,京剧丑角
2002,袁世海,京剧净角
2002,白其麟,京剧丑角
2003,钮荣亮,京剧丑角
2003,羊兰芬,河北梆子
2004,诸世芬,京剧小生
2005,辜振甫,京剧票友
2005,黄小秋,京剧旦角
2006,马季,相声演员
2006,陆地园,京剧老生
2006,王熙春,京剧旦角
2007,黄奕缺,泉州木偶戏艺师
2007,李丹林,京剧旦角
2007,汪芝琳,京剧老生
2007,周文茹,梅花大鼓演员
2007,王辅生,秦腔丑角
2007,陈正庆,商洛花鼓戏剧作家
2008,赵永福,川剧鼓师
2008,汪瀚,京剧票友
2008,崇元碧,京剧武旦
2008,黑永宽,京剧票友
2009,朱东韵,越剧花旦
2010,范克峻,秦腔理论家
2010,余笑予,楚剧
2010,周少麟,京剧老生
2010,汪玉祥,京剧丑角
2011,孙书筠,京韵大鼓演员
2011,高家兰,八角鼓单弦票友
2011,靳学斌,京剧小生
2012,张学津,京剧老生
2012,姜凤山,京剧琴师
2012,朱云鹏,京剧老生
2012,王惠玉,京剧票友
2012,王双庆,滑稽戏演员
2013,张振华,苏州弹词演员
2013,金炳昶,相声演员
2013,沈韵秋,苏州弹词演员
2013,吴碧波,豫剧旦角
2013,荆剑鹏,京剧武生
2013,红线女,粤剧旦角
2013,李志鹏,八角鼓单弦演员
2013,赵鸣深,京剧武生
2013,田连章,西河大鼓演员
2013,杨蒲生,京剧评论家
2014,筱艳秋,绍剧旦角
2014,丁宝祥,相声演员
2014,钳韵宏,京剧净角
2014,孙元坡,京剧净角
2015,魏振山,京剧票友
2015,陈茶花,瓯剧旦角
2015,常宝霆,相声演员
2015,蒋霭秉,京剧琴师
2015,王四郎,粤剧武生
2015,张新尚,眉户戏须生
2015,谭世强,京剧武场面
2016,金玉书,京剧琴师
2016,谷春章,京剧丑角
2016,贺孝忠,越剧琴师
2016,曾鸿春,京剧武生
2016,筱麟童,越剧丑角
2016,周宝奎,越剧老旦
1880,程长庚,京剧老生
1904,陈寿峰,昆曲文武老生
1911,郝春年,京剧鼓师
1917,谢宝云,京剧老旦
1920,李连仲,京剧净角
1922,扎兰卿,京剧鼓师
1923,杨孝亭,京剧花旦
1927,刘汉臣,京剧老生
1927,高三奎,京剧老生
1927,王连浦,京剧净角
1929,朱文英,京剧武旦
1931,朱天祥,京剧老生
1931,殷连瑞,京剧武生
1932,郭仲衡,京剧老生
1936,耿俊峰,京剧鼓师
1939,俞振庭,京剧武生
1942,高庆奎,京剧老生
1947,李世芳,京剧旦角
1955,陈士和,评书演员
1958,杨宝森,京剧老生
1965,顾传玠,昆曲小生
1967,关啸彬,楚剧旦角
1967,王少楼,京剧老生
1971,盖叫天,京剧武生
1972,黄玉斗,潮剧乌衫角
1974,朱传茗,昆曲旦角
1978,徐敏初,京剧老生
1980,张德俊,京剧武生
1980,福芝芳,京剧旦角
1981,薛恩厚,京剧演员
1983,陈富年,戏曲音乐家
1988,于枢海,评书演员
1988,周传瑛,昆曲演员
1990,张永禄,京剧丑角
1990,李盛藻,京剧老生
1992,陈全波,川剧丑角
1994,童慧荃,京剧武净
1995,雷元硕,京剧老旦
1995,李玉书,京剧老生
1996,赵荣琛,京剧旦角
1998,范延东,山东快书演员
2000,王正屏,京剧净角
2001,李和曾,京剧老生
2001,张玉林,八角鼓票友
2003,奚延宏,京剧净角
2003,戚雅仙,越剧花旦
2003,赵又愚,川剧丑角
2004,张似云,京剧琴师
2005,苏盛琴,京剧琴师
2005,艳桂荣,西河大鼓演员
2005,蒋健兰,戏曲研究者
2006,崔荣英,京剧旦角
2006,董少英,京剧老生
2006,朱福侠,京剧小生
2006,李箴民,秦腔武旦
2006,程梓贤,评书演员
2007,李茹茵,评剧旦角
2007,王玉磬,河北梆子老生
2007,方英培,京剧老生
2007,李政春,二人转演员
2007,俞麟童,沪剧演员
2007,黄海岱,台湾布袋戏艺师
2007,赵文奎,京剧净角
2007,马永安,京剧净角
2008,罗君国,思南花灯戏演员
2008,金月楼,越剧小生
2008,杨胜先,思南花灯戏演员
2008,翟韵奎,京剧武丑
2008,王砚如,京剧生角
2008,李多芬,京剧老旦
2008,张俊功,陕北说书演员
2008,张古愚,京剧史论
2009,白云峰,粤剧武生
2009,何海莹,粤剧花旦
2009,李世霖,京剧老生
2009,李砚秀,京剧旦角
2010,谢黛林,京剧旦角
2010,陈妙华,秦腔文武小生
2011,李荣威,京剧净角
2011,惠兆龙,扬州评话演员
2011,李舒,京剧老生
2011,梁少垣,京剧鼓师
2011,王敬乐,秦腔
2011,张延培,京剧音乐创作者
2011,杨曼华,京韵大鼓演员
2011,王铁本,京剧琴师
2011,李淑君,昆曲旦角
2012,马秀英,淮剧旦角
2012,张金梁,京剧丑角
2012,李金泉,京剧老旦
2013,朱剑庭,苏州弹词演员
2013,于佑福,相声演员
2013,宋百存,秦腔净角
2013,苏丹,评剧舞台美术灯光设计师
2013,张运喜,川剧丑角
2013,汪荣汉,京剧丑角
2013,许月忠,苏州弹词演员
2013,傅锦华,彩调旦角
2013,魏梅照,越剧文武老生
2013,王俊玲,京剧武旦
2014,曹织云,苏州弹词演员
2014,谢许萍苏,京剧票友
2014,翁双杰,滑稽戏演员
2014,张义奎,京剧净角
2014,方月仿,湖北汉剧剧作者
2014,张荣培,京剧老生
2014,李明华,昆曲闺门旦
2014,杜国芝,相声演员
2014,陈平,婺剧组织工作者
2014,吕明发,秦腔须生
2015,万一英,京剧老旦
2015,陈伯华,湖北汉剧旦角
2015,朱秋僧,滑稽戏演员
2015,张巧珍,楚剧旦角
2015,陆锦娟,越剧小生
2015,王则昭,京剧老生
2015,郑培英,粤剧旦角
2015,招石文,粤剧武生
2015,吴思谦,湖北汉剧老生
2015,熊正坤,川剧导演
2016,范继信,昆曲丑角
2016,王玉田,京剧净角
2016,孙天申,昆曲度曲家
2016,许欣,豫剧导演
2017,马静宜,京韵大鼓演员
2017,龚华声,苏州弹词演员
2017,巫明霞,歌仔戏小生
2017,黄孝慈,京剧旦角
2017,陶醉娟,滑稽戏演员
2017,喻海燕,川剧旦角
2017,吴双艺,滑稽戏演员
2017,赵炳啸,京剧净角
2004,筱樊春楼,京剧老生
2004,高宝贤,京剧老生
1993,宋遇春,京剧武生
1925,田际云,京剧花旦
1944,于莲仙,京剧花旦
1944,蔡荣贵,京剧老生
2001,叶盛长,京剧老生
2012,杨飞飞,沪剧旦角
2012,吴荣喜,京剧文武老生
2012,杨华生,滑稽戏演员
2012,赵云鹤,京剧生角
2012,艾世菊,京剧丑角
2012,林雅雯,京剧老旦
1990,刘斌昆,京剧丑角
1990,沈金波,京剧老生
1998,吴江秋,京剧旦角
2009,刘学智,山东快书演员
2009,时佩璞,京剧小生
2009,李传灿,台湾布袋戏艺师
2009,曹毅琳,京剧旦角
2009,关正明,京剧老生
1968,金金奎,晋剧丑角
1968,詹世辅,京剧丑角
2006,杨觉民,秦腔小生
2006,关海山,粤剧小生
2014,谢平安,戏曲导演
2014,蔡俊,京剧琴师
2014,唐世辛,京剧净角
2014,孙普协,川剧净角
1984,袁金凯,京剧武生
