born,name,role
1865,姚祥云,昆曲老生
1866,冯蕙林,京剧小生
1886,郝寿臣,京剧净角
1891,刘文斌,京东大鼓演员
1893,荣蝶仙,京剧花旦
1897,李佩卿,京剧旦角
1901,赵桐珊,京剧花旦
1905,汪润泉,滇剧小生
1906,王华运,湘剧小生
1907,马彦祥,戏曲导演
1908,翁偶虹,京剧编剧
1909,侯佑宗,京剧鼓师
1911,陈少霖,京剧老生
1912,罗品超,粤剧文武生演员
1914,郑亦秋,京剧老生
1916,新马师曾,粤剧文武生
1917,王玉田,京剧净角
1920,张金梁,京剧丑角
1923,谭世秀,京剧鼓师
1925,郑盛芗,京剧小生
1926,吴小楼,越剧老生
1927,范克峻,秦腔理论家
1930,乔韵如,京剧琴师
1933,葛兰,京剧票友
1935,陈正柱,京剧丑角
1936,赵振铎,相声演员
1944,招石文,粤剧武生
1944,夏慧华,京剧旦角
1947,金锡华,京剧丑角
1948,安云武,京剧老生
1954,黄宪光,京剧文丑
1955,黄小秋,京剧旦角
1962,舒锦霞,越剧旦角
1962,王平,相声演员
1963,张德武,相声演员
1975,陈汉文,京剧净角
1976,周利,京剧旦角
1984,黄兆欣,京昆票友
1817,刘赶三,京剧丑角
1830,郝春年,京剧鼓师
1846,刘倩云,昆曲旦角
1851,曹福寿,昆曲旦角
1855,李玉祥,京剧青衣
1883,王凤卿,京剧老生
1891,朱桂芳,京剧武旦
1891,王蕙芳,京剧旦角
1898,郭三增,京剧武生
1900,马富禄,京剧丑角
1902,俞振飞,京剧
1903,苏富恩,京剧武生
1906,雪艳琴,京剧旦角
1913,杜奎三,京剧琴师
1914,朱家溍,戏曲研究家
1914,沈家宏,京剧票友
1919,梁再胜,京剧净角
1920,小盛春,京剧武生
1921,于枢海,评书演员
1922,叶盛长,京剧老生
1922,关学曾,北京琴书演员
1922,王雅兰,京剧旦角
1922,童芷苓,京剧旦角
1923,李慧芳,京剧旦角
1923,李玉茹,京剧旦角
1923,傅全香,越剧花旦
1924,唐喜成,豫剧生角
1924,常宝霖,相声演员
1925,景荣庆,京剧净角
1927,毕春芳,越剧小生
1931,尚长麟,京剧旦角
1931,王敬乐,秦腔
1932,陆锦娟,越剧小生
1933,蔡俊,京剧琴师
1937,高建礼,京剧丑角
1938,郭明霞,秦腔旦角
1939,施雪怀,京剧老生
1940,尚长荣,京剧净角
1941,蔡正仁,昆曲
1947,张素英,京剧琴师
1948,侯耀文,相声演员
1958,张建国,京剧老生
1964,唐美云,歌仔戏旦角
1968,李红宾,京剧武生
1978,李菁,快板
1979,凌珂,京剧老生
1981,杜鹏,京剧老生
1982,杨舒雯,京剧老生
1984,逗乐,相声演员
1984,郭鹭,评剧旦角
1818,王九龄,京剧老生
1855,余紫云,京剧青衣
1859,陈桂寿,京剧花旦
1861,王升儿,京剧老生
1865,罗福山,京剧老旦
1889,郭仲衡,京剧老生
1889,傅泰臣,评书演员
1890,殷震贤,昆曲名票
1893,侯玉山,北方昆曲花脸
1897,贯大元,京剧老生
1900,于连泉,京剧花旦
1902,白云生,昆曲小生
1905,孙毓堃,京剧武生
1905,茹秀臣,京剧生角
1906,叶龙章,京剧组织工作者
1908,姜存瑞,评书演员
1911,李玉书,京剧老生
1912,从鸿逵,京剧票友
1914,骆玉笙,京韵大鼓演员
1915,裘盛戎,京剧净角
1915,梁益鸣,京剧老生
1916,耿世忠,京剧老生
1918,杨华生,滑稽戏演员
1919,魏小云,越剧丑角
1920,裘世戎,京剧净角
1920,王少舫,黄梅戏小生
1922,吴小如,京剧史论工作者
1924,李金声,京剧红生
1924,姚迅,粤剧文武生
1925,李荣岩,京剧琴师
1925,方荣翔,京剧净角
1925,徐天红,越剧老生
1926,魏喜奎,奉调大鼓
1927,王惠玉,京剧票友
1928,屠笑飞,越剧丑角
1929,花淑兰,评剧旦角
1931,叶鸣兰,京剧小生
1933,汪景寿,相声理论家
1937,曹毅琳,京剧旦角
1938,李文山,相声演员
1940,马增寿,京剧丑角
1941,张学津,京剧老生
1941,张学海,京剧老生
1942,章诒和,戏曲研究者
1943,陈楚蕙,潮剧小生
1943,高一鸣,京剧作曲家
1946,胡希和,京剧月琴师
1948,康松广,相声演员
1958,陈寒柏,相声演员
1960,苏广忠,京剧鼓师
1962,茅威涛,越剧小生
1839,朱小元,京剧武旦
1842,梅巧玲,京剧青衣
1844,陈兰仙,昆曲旦角
1851,张芷芳,京剧武旦
1855,钱桂蟾,昆曲旦角
1857,高士杰,京剧丑角
1858,张瑞云,京剧武生
1860,汪桂芬,京剧老生
1870,张宝昆,京剧小生
1879,俞振庭,京剧武生
1881,王瑶卿,京剧青衣
1906,谭富英,京剧老生
1909,杨宝森,京剧老生
1911,侯永奎,北方昆曲演员
1911,李万春,京剧生角
1914,马三立,相声演员
1916,姚水娟,越剧旦角
1920,李德彬,京剧小生
1921,穆祥林,相声演员
1921,班世超,京剧武旦
1921,赓金群,京剧鼓师
1923,常香玉,豫剧旦角
1923,张文涓,京剧老生
1924,厉慧敏,京剧旦角
1926,楚岫云,粤剧正印花旦
1926,吴鸣申,京剧武生
1927,新艳琴,评剧旦角
1928,李蓉芳,京剧旦角
1929,关肃霜,京剧旦角
1930,梅葆玥,京剧老生
1933,顾永湘,京剧琴师
1935,刘云亭,西河大鼓演员
1935,冯光钰,曲艺音乐工作者
1936,杨博森,京剧净角
1939,俞丽萍,苏州弹词演员
1941,海连池,河南曲剧花脸
1942,宋丹菊,京剧旦角
1946,罗家英,粤剧文武生
1947,裴艳玲,河北梆子
1949,卜灿荣,粤剧音乐工作者
1950,戴月琴,评剧旦角
1955,张国庆,滑稽戏演员
1957,梁左,相声创作者
1959,赵立华,评剧生角
1964,俞建华,越剧旦角
1967,靳爱花,豫剧旦角
1972,徐畅,京剧旦角
