剧目,二黄原板,二黄慢板,二黄导板,二黄散板,二黄摇板,二黄平板,反二黄原板,反二黄慢板,反二黄导板,反二黄散板,反二黄摇板,西皮原板,西皮慢板,西皮导板,西皮散板,西皮摇板,西皮快三眼,西皮二六,西皮流水,西皮快板,反西皮二六,反西皮散板,反西皮摇板
五雷报,2,3,1,0,0,0,2,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,
对刀步战,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
贩马记【前本】,0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,9,0,1,1,0,0,0,
玉门关【前本】,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
取南郡【三、四本】,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,
太君辞朝,0,3,0,0,1,0,0,0,0,0,0,1,1,1,0,5,0,0,0,0,0,0,
倒厅门,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,8,0,0,0,0,0,0,
万花船,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,1,0,0,0,0,
金光阵,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,1,0,0,
郑恩做亲,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1,0,0,0,0,
三顾茅庐,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,49,0,1,14,0,0,0,
长坂坡,0,0,0,0,0,0,0,0,0,0,0,6,0,3,33,2,0,0,2,1,0,0,
定军山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,2,3,12,0,0,
玉堂春,2,1,1,7,0,0,0,1,0,0,0,21,8,2,3,10,0,2,23,3,0,0,
两将军,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,10,0,0,0,4,0,0,
真假李逵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,
十三妹,0,0,0,0,0,0,0,0,0,0,0,3,1,4,14,41,0,1,1,1,0,0,
辕门射戟,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,19,0,2,0,8,0,0,
彩楼配,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,11,0,1,3,2,0,0,
三击掌,0,0,0,0,0,0,0,0,0,0,0,4,1,0,11,3,0,1,0,21,0,0,
平贵别窑,0,2,0,0,0,0,0,0,0,0,0,11,0,2,8,4,0,1,0,10,0,0,
母女会,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,3,0,2,1,3,0,0,
三岔口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
通天犀,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,
宇宙锋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,
激权激瑜,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,14,0,0,2,1,0,0,
思凡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
阳平关,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,15,0,1,2,2,0,0,
清风寨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,
二堂舍子,1,3,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
瓦口关,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,0,0,4,1,0,0,
杨排风,0,0,0,0,0,0,0,0,0,0,0,3,0,2,10,6,0,1,3,0,0,0,
八大锤,5,0,3,6,6,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,
千里走单骑,0,0,0,0,0,0,0,0,0,0,0,2,0,2,16,12,0,0,6,2,0,0,
临江驿,5,0,1,10,0,0,0,0,0,0,0,0,0,2,33,17,0,3,2,3,0,0,
岳家庄,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,2,0,0,0,0,0,0,
甘露寺,0,0,0,0,0,0,0,0,0,0,0,14,1,5,42,25,0,0,5,7,0,0,
拾玉镯,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,
单刀会,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
战太平,0,0,2,9,0,0,0,0,0,0,0,1,0,3,17,11,0,0,3,10,0,0,
审潘洪,11,1,2,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
二进宫,53,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
五台山,12,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
镇潭州,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,
小放牛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
霸王别姬,0,0,0,0,0,0,0,0,0,0,0,5,0,3,26,6,0,1,1,0,0,0,
描容上路,1,1,1,5,2,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,
扫松下书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
劈山救母,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
武松,0,0,0,0,2,0,0,0,0,0,0,0,0,1,14,5,0,0,0,0,0,0,
武松打虎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
抗金兵,5,0,1,3,0,0,0,0,0,0,0,0,1,0,5,22,0,1,0,0,0,0,
借赵云,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,
打面缸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
游园惊梦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
连升店,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
打登州,7,1,2,22,0,0,0,0,0,0,0,6,0,3,7,18,0,1,4,4,0,0,
三进士,19,1,0,36,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
双合印,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,0,0,0,1,0,0,
贺后骂殿,3,0,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
牛皋招亲,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,0,0,4,0,0,0,
斩彭越,1,0,0,0,8,0,0,0,0,0,0,9,0,1,0,6,0,0,1,0,0,0,
陈桥兵变,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
金镛关,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
专母训子,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,19,0,1,0,1,0,0,
徐母骂曹,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,23,0,1,0,1,0,0,
徐母训子,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,8,0,9,0,0,0,0,
袁吕结亲,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,6,0,0,0,0,
七步吟,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
月下赞貂婵,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,2,0,0,0,
富春江,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
散瓦岗,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
晋阳城,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,7,4,5,0,0,
白帝城,3,2,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
斩黄袍,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,43,0,1,16,17,0,0,
焚烟墩,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
游武庙,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
破石兆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
荆襄府,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
张松骂曹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
截江夺斗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
天水关,10,0,0,4,0,0,0,0,0,0,0,5,0,2,27,0,0,0,5,1,0,0,
恶虎关,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,1,0,0,0,0,
双义节,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
康郎山,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
战北原,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,27,0,1,6,4,0,0,
纪母骂刘邦,1,0,0,0,1,0,0,0,0,0,0,7,0,1,1,28,0,1,2,0,0,0,
龙凤帕【头本】,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,2,0,
虎牢关,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骂董卓,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
曹营见母,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
对算荐雏,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
大闹御马监,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,12,0,0,0,0,0,0,
