剧目,二黄原板,二黄慢板,二黄导板,二黄散板,二黄摇板,二黄平板,反二黄原板,反二黄慢板,反二黄导板,反二黄散板,反二黄摇板,西皮原板,西皮慢板,西皮导板,西皮散板,西皮摇板,西皮快三眼,西皮二六,西皮流水,西皮快板,反西皮二六,反西皮散板,反西皮摇板
花田错【前本】,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,16,0,0,0,2,0,0,
梵王宫,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
孝义节,6,5,2,0,10,0,4,5,0,0,2,1,1,2,0,6,0,0,0,0,0,0,
金水桥,0,2,0,0,1,0,0,0,0,0,0,5,1,3,0,17,0,2,0,3,0,0,
罗成托梦,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
探亲相骂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
双包案,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,9,0,0,0,2,0,0,
上天台,4,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
三疑计,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
卖马,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,0,0,4,0,0,
八大锤,3,0,3,0,12,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,
铡美案,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,98,1,0,0,3,0,0,
五台山,13,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
凤鸣关,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,1,0,5,0,0,
罗成叫关,3,1,2,0,6,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,
别宫,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,9,0,1,0,1,0,0,
刺王僚,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,5,0,0,
五雷阵【三本】,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,1,0,0,0,0,0,
铁莲花,0,2,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
纺棉花,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
汾河湾,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,15,0,0,0,3,0,0,
阳平关,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,54,0,0,1,12,0,0,
算粮登殿,0,0,0,0,0,0,0,0,0,0,0,34,8,5,0,2,0,0,0,5,0,0,
虹霓关,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,20,0,3,0,2,0,0,
杜十娘,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,
遇龙封官,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,2,0,0,0,5,0,0,
二姐逛庙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
双钉记,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,
失街亭,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
斩马谡,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,7,0,0,
凤仪亭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
十八扯,3,0,0,0,4,0,0,0,0,0,0,0,2,1,0,9,0,1,0,4,0,0,
岳家庄,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,23,0,0,0,0,0,0,
长坂坡,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,27,0,0,0,2,0,0,
白良关,2,0,0,0,40,0,0,0,0,0,0,2,0,1,0,13,0,0,0,2,0,0,
卖绒花,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
伐子都,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,2,0,0,0,13,0,0,
雁门关,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
青石山,0,1,1,0,0,0,0,0,0,0,0,4,0,4,0,14,0,0,0,0,0,0,
长亭会,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,
濮阳城,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,32,0,1,0,2,0,0,
战樊城,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,7,0,1,0,5,0,0,
进蛮诗,0,0,0,0,0,0,0,0,0,0,0,5,13,1,0,5,0,0,0,2,0,0,
失印救火,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
马鞍山,3,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
宫门带,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,
渭水河,9,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
法场换子,2,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠孝牌,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠孝图,18,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
打面缸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
锁云囊,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,1,0,0,
人才驸马,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,15,0,0,0,1,0,0,
查头关,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,13,0,0,
双断桥,0,0,0,0,0,0,0,0,0,0,0,6,8,2,0,1,0,0,0,1,0,0,
卖饽饽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
荐诸葛,19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
风云会,0,9,4,0,21,0,0,0,0,0,0,0,2,1,0,0,0,0,0,13,0,0,
渑池会,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,52,0,0,2,8,0,0,
请宋灵,6,1,4,0,6,0,1,1,0,0,0,0,0,1,1,9,0,1,0,0,0,0,
回龙阁,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,33,0,4,0,15,0,0,
烧绵山,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,49,0,0,0,7,0,0,
监酒令,0,1,1,0,3,0,0,0,0,0,0,0,2,0,0,23,0,0,0,1,0,0,
芦花河,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,20,0,3,0,17,0,0,
马上缘,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,47,0,0,0,6,0,0,
拿高登,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,43,0,0,0,0,0,0,
明月珠,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
白马坡,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,25,0,0,1,2,0,0,
摩天岭,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,24,0,0,0,4,0,0,
赵颜借寿,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,28,0,0,0,4,0,0,
洛阳桥,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,
送银灯,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,12,0,3,0,1,0,0,
泥马渡康王,0,1,2,0,25,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,
闹江州,0,0,0,0,4,4,0,0,0,0,0,0,1,4,0,31,0,0,0,0,0,0,
高平关,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,21,0,0,0,38,0,0,
莲花湖,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
打銮驾,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,21,0,0,0,4,0,0,
少华山,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,
贵妃醉酒,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
春秋配,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,20,0,0,0,5,0,0,
赶三关,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,14,0,1,0,14,0,0,
南阳关,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,20,0,1,0,4,0,0,
血手印,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,
审头刺汤,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
双观星,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,
司马逼宫,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,13,0,0,0,0,0,0,
审刺客,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,7,0,0,0,0,0,0,
赠别挑袍,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,9,0,1,0,1,0,0,
借赵云,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,
御林郡,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,8,0,0,0,6,0,0,
奇冤报,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,0,0,
恶虎村,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
皮匠杀妻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,
罗四虎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
八蜡庙,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,1,0,0,
伐东吴,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,9,0,0,0,0,0,0,
战太平,0,0,2,0,4,0,0,0,0,0,0,1,0,3,0,17,0,0,0,0,0,0,
刺巴杰,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
主要角色,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
玉门关,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
贾家楼,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
药茶计,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
老黄请医,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
黛玉葬花,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蝴蝶,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,
鲁肃求计,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,2,1,7,0,0,
铁笼山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浔阳楼,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,10,0,0,0,0,0,0,
秦淮河,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
打樱桃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
丁甲山,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,
淮安府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
雪杯圆,1,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
除三害,5,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
错杀奸,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,
锁五龙,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,0,4,0,0,0,
摘缨会,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,2,0,0,
度白俭,4,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
挡亮,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,6,0,1,0,0,
董家山,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,
云台观,2,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
五花洞,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,
红梅阁,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,0,0,1,10,0,0,
恶虎庄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,
四杰村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,
马嵬坡,4,1,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古城相会,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,
潞安州,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,
扫松下书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
英杰烈,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,
南屏山,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,1,0,0,0,0,
疯僧扫秦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
盗魂铃,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
紫荆树,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,
庆阳图,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,1,0,0,0,0,
一捧雪,1,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
赵家楼,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,1,0,0,
三气周瑜,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,12,0,0,0,0,0,0,
八郎探母,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,44,0,5,0,10,0,0,
临潼山,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,21,0,0,4,0,0,0,
骂杨广,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,
蒯彻装疯,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,16,0,1,0,0,0,0,
单刀赴会,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,
未央宫,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,10,0,1,0,0,0,0,
取南郡,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1,0,0,
春香闹学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
拾玉镯,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,0,1,1,0,0,
三让徐州,0,2,1,0,4,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,
骂王朗,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,
背娃入府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
三上轿,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,
郿邬县,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,10,0,0,
妙善出家,0,0,0,0,0,0,0,0,0,0,0,3,2,0,7,4,0,1,0,0,0,0,
风波亭【全本】,0,0,1,0,6,0,0,0,0,0,0,4,0,3,0,14,0,1,0,0,0,0,
三上殿,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,
襄阳宴,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,19,0,1,0,4,0,0,
张古董借妻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
别妻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
斩貂蝉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
金雁桥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
张良辞朝,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,
景阳岗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
连环计,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,4,1,0,0,
下河东,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
鄚州庙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朝歌恨【全本】,0,0,0,0,5,0,0,0,0,0,0,4,0,2,0,25,0,1,2,0,0,0,
孝妇羹,1,0,1,0,5,0,0,0,0,0,0,3,0,0,0,14,0,2,1,0,0,0,
骂阎罗,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,41,0,0,19,15,0,0,
望儿楼,4,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
排王赞,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,2,3,0,0,
煤山恨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,
五人义,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
迷人馆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
冀州城,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,24,0,0,0,1,0,0,
过五关,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,
三顾茅庐,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,11,0,0,0,0,0,0,
舌战群儒,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,
马前泼水,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,8,0,1,0,1,0,0,
讨荆州,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,6,0,0,
曾头市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
佘塘关,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,7,0,0,0,
九龙杯【七本】,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
镇潭州,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
磐河战,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,3,0,0,
戏迷传,2,1,0,0,7,0,0,0,0,0,0,1,1,0,0,7,0,1,1,0,0,0,
汾河湾,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,18,0,1,1,2,0,0,
别母乱箭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
穆柯寨,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,1,1,0,0,
凤凰山,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,
燕青打擂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
采花赶府,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,6,0,0,0,
送花楼会,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,
拷红,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
铁公鸡【头、二、三本】,1,0,0,0,7,0,0,0,0,0,0,1,0,3,0,14,0,0,2,1,0,0,
许田射鹿,1,0,0,0,11,0,0,0,0,0,0,1,1,3,0,20,0,0,4,1,0,0,
霸王别姬,2,0,1,0,6,0,0,0,0,0,0,0,10,1,0,5,0,0,0,0,0,0,
玉玲珑,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,
泗州城,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,7,0,0,0,0,0,0,
雪夜访普,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
将相和,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,11,0,2,0,0,0,0,
山海关【七、八本】,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,
明末遗恨,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
十二红【头本】,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
宏碧缘【头本】,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,
举鼎观画,8,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
三击掌,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,13,0,0,10,0,0,0,
洗浮山,0,1,2,0,7,0,0,1,0,0,0,0,0,0,0,15,0,0,1,1,0,0,
百凉楼,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
乔醋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
金马门,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,6,0,0,1,1,0,0,
游武庙,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,4,0,0,0,0,
思凡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
挡幽王,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,12,0,0,0,8,0,0,
木门道,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,9,0,0,0,
洗耳记,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,1,0,0,0,0,
取洛阳,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,1,1,0,0,
东宫扫雪,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,3,1,0,0,
