born,name,role_x,death
1893,侯玉山,北方昆曲花脸,1996
1897,贯大元,京剧老生,1969
1900,于连泉,京剧花旦,1967
1902,白云生,昆曲小生,1972
1906,叶龙章,京剧组织工作者,1988
1911,李玉书,京剧老生,1995
1912,从鸿逵,京剧票友,1999
1914,骆玉笙,京韵大鼓演员,2002
1915,裘盛戎,京剧净角,1971
1915,梁益鸣,京剧老生,1970
1916,耿世忠,京剧老生,1984
1918,杨华生,滑稽戏演员,2012
1919,魏小云,越剧丑角,2007
1920,裘世戎,京剧净角,1982
1920,王少舫,黄梅戏小生,1986
1922,吴小如,京剧史论工作者,2014
1924,李金声,京剧红生,2009
1925,李荣岩,京剧琴师,1999
1925,方荣翔,京剧净角,1989
1925,徐天红,越剧老生,2010
1926,魏喜奎,奉调大鼓,1996
1927,王惠玉,京剧票友,2012
1928,屠笑飞,越剧丑角,2012
1929,花淑兰,评剧旦角,2005
1931,叶鸣兰,京剧小生,2016
1933,汪景寿,相声理论家,2006
1937,曹毅琳,京剧旦角,2009
1938,李文山,相声演员,2017
1940,马增寿,京剧丑角,2017
1941,张学津,京剧老生,2012
1941,张学海,京剧老生,2012
1943,陈楚蕙,潮剧小生,2012
1842,梅巧玲,京剧青衣,1882
1857,高士杰,京剧丑角,1930
1860,汪桂芬,京剧老生,1908
1879,俞振庭,京剧武生,1939
1881,王瑶卿,京剧青衣,1954
1906,谭富英,京剧老生,1977
1909,杨宝森,京剧老生,1958
1911,侯永奎,北方昆曲演员,1981
1911,李万春,京剧生角,1985
1914,马三立,相声演员,2003
1916,姚水娟,越剧旦角,1976
1920,李德彬,京剧小生,2017
1921,穆祥林,相声演员,1986
1921,赓金群,京剧鼓师,2008
1923,常香玉,豫剧旦角,2004
1924,厉慧敏,京剧旦角,2007
1926,楚岫云,粤剧正印花旦,1980
1926,吴鸣申,京剧武生,1956
1927,新艳琴,评剧旦角,2013
1928,李蓉芳,京剧旦角,2008
1929,关肃霜,京剧旦角,1992
1930,梅葆玥,京剧老生,2000
1933,顾永湘,京剧琴师,2013
1935,刘云亭,西河大鼓演员,2003
1935,冯光钰,曲艺音乐工作者,2011
1936,杨博森,京剧净角,2014
1939,俞丽萍,苏州弹词演员,2013
1941,海连池,河南曲剧花脸,2012
1957,梁左,相声创作者,2001
1846,时小福,京剧青衣,1900
1850,范福泰,京剧武净,1932
1862,龚云甫,京剧老旦,1932
1872,朱素云,京剧小生,1930
1894,梅兰芳,京剧旦角,1961
1898,王连平,京剧教师,1992
1912,李斌植,京剧武场乐师,2000
1914,刘曾复,京剧史论研究者,2012
1915,言少朋,京剧老生,1984
1916,史行,越剧编导,2015
1917,曹世嘉,京剧老生,2011
1919,李少春,京剧武生,1975
1919,笑嘻嘻,滑稽戏演员,2006
1920,张君秋,京剧旦角,1997
1920,陈四文,潮汕讲古演员,2011
1921,马樟花,越剧小生,1942
1922,张桂凤,越剧老生,2012
1923,小岚云,京韵大鼓演员,1992
1923,李继宗,评剧小生,2011
1924,王元纲,京剧武生,1996
1924,彭子富,曲艺演员,2004
1926,崔兰田,豫剧旦角,2003
1927,王景明,评剧丑角,2011
1929,顾正秋,京剧旦角,2016
1929,张玉林,八角鼓票友,2001
1936,郑培英,粤剧旦角,2015
1938,张文顺,相声演员,2009
1939,汪玉祥,京剧丑角,2010
1939,朱文相,戏曲理论家,2006
1940,汪芝琳,京剧老生,2007
1941,金幼实,相声演员,2005
1811,程长庚,京剧老生,1880
1838,钱宝峰,京剧净角,1895
1852,许荫棠,京剧老生,1918
1854,侯峻山,山西梆子,1935
1888,盖叫天,京剧武生,1971
1890,余叔岩,京剧老生,1943
1894,张春彦,京剧老生,1955
1898,李多奎,京剧老旦,1974
1901,周麟阁,梅花大鼓票友,1976
1903,沈富贵,京剧武生,1954
1906,庄一拂,昆曲度曲家,2001
1908,李宝櫆,京剧生角,1987
1910,孙盛文,京剧净角,1981
1911,曹艺斌,京剧文武老生,1982
1913,严雪亭,苏州评弹弹词演员,1983
1913,高秀英,扬剧旦角,2004
1913,费文治,京剧琴师,1966
1914,李德山,京剧琴师,1964
1914,叶盛兰,京剧小生,1978
1916,喜彩莲,评剧旦角,1997
1917,邢湘麟,越剧老生,2009
1917,侯宝林,相声演员,1993
1917,蒋月泉,苏州弹词演员,2001
1919,王金璐,京剧武生,2016
1919,尹桂芳,越剧小生,2000
1920,程玉英,晋剧青衣,2015
1920,秋楚笙,京剧演员,2005
1921,马聚泉,曲艺演员,2011
1921,筱樊春楼,京剧老生,2004
1923,徐进,越剧编剧,2010
1927,魏龙豪,相声演员,1999
1927,黄正勤,京剧小生,2015
1928,尚长春,京剧武生,1993
1929,筱麟童,越剧丑角,2016
1930,魏振山,京剧票友,2015
1934,王学义,曲艺演员,2011
1937,詹剑峰,闽剧小生,2013
1944,赵学义,京韵大鼓演员,2006
1946,林雅雯,京剧老旦,2012
1949,高美芬,京剧活动家,2005
1962,刘文亮,歌仔戏音乐创作者,2014
1858,王长林,京剧丑角,1931
1878,萧长华,京剧丑角,1967
1878,杨小楼,京剧武生,1938
1885,张荣奎,京剧老生,1947
1890,言菊朋,京剧老生,1942
1893,封至模,秦腔剧作家,1974
1901,黄海岱,台湾布袋戏艺师,2007
1903,唐韵笙,京剧生角,1970
1903,钱富川,京剧武生,1977
1904,程砚秋,京剧旦角,1958
1905,焦菊隐,京剧教师,1975
1907,白登云,京剧鼓师,1990
1907,孟小冬,京剧老生,1977
1908,倪传钺,昆曲演员,2010
1910,奚啸伯,京剧老生,1977
1910,魏莲芳,京剧旦角,1998
1911,王少楼,京剧老生,1967
1912,马连贵,京剧大锣,1989
1915,麦炳荣,粤剧小生,1984
1915,高盛麟,京剧武生,1989
1916,高少亭,京剧老生,1985
1918,宋德珠,京剧武旦,1984
1920,鲜灵霞,评剧旦角,1993
1921,筱俊亭,评剧旦角,2013
1921,黄金璧,京剧武生,2006
1921,诸世芬,京剧小生,2004
1921,徐玉兰,越剧小生,2017
1922,周柏春,滑稽戏演员,2008
1922,李志良,京剧琴师,2013
1926,杨荣斌,京剧老生,2007
1926,李荣威,京剧净角,2011
1928,汪正华,京剧老生,2012
1932,王荣增,京剧老生,2007
1934,李韵章,京剧生角,2009
1935,郭仲英,京剧旦角,2014
1938,傅锦华,彩调旦角,2013
1941,巫明霞,歌仔戏小生,2017
1956,张成全,相声,2006
1857,方秉忠,京剧笛师,1927
1864,田际云,京剧花旦,1925
1866,田桂凤,京剧花旦,1931
1867,刘春喜,京剧老生,1918
1868,余玉琴,京剧花旦,1939
1894,洪深,戏曲剧作者,1955
1895,周信芳,京剧老生,1975
1899,张寿臣,相声演员,1970
1899,老舍,京剧,1966
1900,荀慧生,京剧旦角,1968
1900,尚小云,京剧旦角,1976
1901,李海泉,粤剧丑生,1965
1902,金开芳,评剧旦角,1988
1911,吴本贞,晋剧生角,1993
1913,王玉蓉,京剧旦角,1994
1913,任剑辉,粤剧文武生,1989
1917,辜振甫,京剧票友,2005
1917,潘鼎新,京剧老生,1971
1917,萧盛萱,京剧丑角,2000
1921,毛世来,京剧旦角,1994
1921,尹月樵,京剧老生,2006
1921,杨沔,京剧研究家,2005
1921,邢松岩,京剧票友,2003
1921,阎立品,豫剧旦角,1996
1923,胡仲仁,相声演员,2011
1924,罗荣庭,京剧老生,1986
1924,陈圻,婺剧导演,2007
1924,红线女,粤剧旦角,2013
1925,张慧声,苏州评弹弹词演员,2013
1926,关正明,京剧老生,2009
1926,程之,京剧票友,1995
1927,梅兰珍,锡剧旦角,2012
1927,米玉文,京剧武生,2002
1927,云燕铭,京剧旦角,2010
1928,于质彬,京剧史家,2009
1929,周筱芳,淮剧小生,1977
1929,夏韵龙,京剧净角,1997
1929,新凤霞,评剧青衣,1998
1929,桑振君,豫剧旦角,2004
1930,徐双飞,滑稽戏演员,2012
1932,于世德,相声演员,1986
1932,武筱凤,淮剧旦角,2013
1933,林家声,粤剧文武生,2015
1938,刘文亨,相声演员,2001
1943,蔡瑶铣,昆曲演员,2005
1943,柳青,歌仔戏小生,2015
1956,笑林,相声演员,2015
1959,高秀敏,二人转演员,2005
1976,李阳鸣,京剧武生,2013
1909,白凤鸣,京韵大鼓演员,1980
1917,赵炳啸,京剧净角,2017
1925,蔡宝华,京剧武生,1979
