records	Author	journal	year	type	NCR
534	Li, Lihui	PLANTA	2017	Article	81
535	Mazidi Mohsen	ARCHIVES OF MEDICAL SCIENCE	2017	Article	32
535	Michos, Erin D	ARCHIVES OF MEDICAL SCIENCE	2017	Article	32
535	Banach, Maciej	ARCHIVES OF MEDICAL SCIENCE	2017	Article	32
536	Lu Cuiyun	AQUACULTURE	2017	Article	44
536	Laghari, Muhammad Younis	AQUACULTURE	2017	Article	44
536	Zheng, Xianhu	AQUACULTURE	2017	Article	44
536	Cao, Dingchen	AQUACULTURE	2017	Article	44
536	Zhang, Xiaofeng	AQUACULTURE	2017	Article	44
536	Kuang, Youyi	AQUACULTURE	2017	Article	44
536	Li, Chao	AQUACULTURE	2017	Article	44
536	Cheng, Lei	AQUACULTURE	2017	Article	44
536	Mahboob, Shahid	AQUACULTURE	2017	Article	44
536	Al-Ghanim, Khalid A	AQUACULTURE	2017	Article	44
536	Wang, Shu	AQUACULTURE	2017	Article	44
536	Wang, Guoliang	AQUACULTURE	2017	Article	44
536	Sun, Jing	AQUACULTURE	2017	Article	44
536	Zhang, Yan	AQUACULTURE	2017	Article	44
536	Sun, Xiaowen	AQUACULTURE	2017	Article	44
537	Niu Yang	ELIFE	2017	Article	86
537	Dai, Zhanghua	ELIFE	2017	Article	86
537	Liu, Wenxue	ELIFE	2017	Article	86
537	Zhang, Cheng	ELIFE	2017	Article	86
537	Yang, Yanrui	ELIFE	2017	Article	86
537	Guo, Zhenzhen	ELIFE	2017	Article	86
537	Li, Xiaoyu	ELIFE	2017	Article	86
537	Xu, Chenchang	ELIFE	2017	Article	86
537	Huang, Xiahe	ELIFE	2017	Article	86
537	Wang, Yingchun	ELIFE	2017	Article	86
537	Shi, Yun S	ELIFE	2017	Article	86
537	Liu, Jia-Jia	ELIFE	2017	Article	86
538	Wang Jing	JOURNAL OF GENETICS AND GENOMICS	2017	Article	33
538	Xu, Honglin	JOURNAL OF GENETICS AND GENOMICS	2017	Article	33
538	Jiang, Yuqiang	JOURNAL OF GENETICS AND GENOMICS	2017	Article	33
538	Takahashi, Mikiko	JOURNAL OF GENETICS AND GENOMICS	2017	Article	33
538	Takeichi, Masatoshi	JOURNAL OF GENETICS AND GENOMICS	2017	Article	33
538	Meng, Wenxiang	JOURNAL OF GENETICS AND GENOMICS	2017	Article	33
