Author,year,Number,meanIF,medianIF,sdIF
Dai-Jianwu,2014,16,5.0286875,3.9155,2.4851112843962
Dai-Jianwu,2015,11,5.74754545454545,7.145,2.49963170741757
Dai-Jianwu,2016,17,4.82758823529412,4.872,2.48824604538075
Dai-Jianwu,2017,3,5.867,5.228,1.10678046603651
Dong-Guojun,2010,1,31.616,31.616,NA
Dong-Guojun,2011,2,6.5465,6.5465,4.06798531216621
Dong-Guojun,2012,3,33.79,31.616,3.76547845565474
Dong-Guojun,2013,1,6.661,6.661,NA
Dong-Guojun,2014,3,15.5023333333333,9.423,14.0942611134225
Dong-Guojun,2015,4,7.10525,6.711,3.17927637206959
Dong-Guojun,2016,2,5.5615,5.5615,2.23516453533068
Fang-Jun,2010,2,9.241,9.241,7.87858375598051
Fang-Jun,2011,4,3.913,3.943,1.29498236796233
Fang-Jun,2012,1,8.538,8.538,NA
Fang-Jun,2013,1,5.468,5.468,NA
Fang-Jun,2014,3,4.69266666666667,3.981,1.37711449536098
Fang-Jun,2015,2,4.9195,4.9195,1.76705984618518
Fang-Jun,2016,1,8.538,8.538,NA
Fang-Jun,2017,1,3.981,3.981,NA
Fu-Xiangdong,2011,1,6.28,6.28,NA
Fu-Xiangdong,2012,2,19.413,19.413,17.2576481016389
Fu-Xiangdong,2013,2,6.104,6.104,3.44219581081611
Fu-Xiangdong,2014,3,14.6213333333333,6.78,14.7324253717212
Fu-Xiangdong,2015,6,9.25233333333333,5.3425,11.2429130151695
Fu-Xiangdong,2016,3,6.702,7.142,2.5298618539359
Gao-Caixia,2011,2,3.716,3.716,3.62604357392462
Gao-Caixia,2013,3,18.0786666666667,7.142,21.737901562325
Gao-Caixia,2014,7,11.904,8.668,14.1478805951045
Gao-Caixia,2015,3,14.902,7,14.481898080017
Gao-Caixia,2016,4,6.8845,6.114,3.21150146608509
Gao-Caixia,2017,2,8.3985,8.3985,4.14435284453436
Gu-Minghong,2010,6,5.35133333333333,4.4735,1.85607226870795
Gu-Minghong,2011,4,7.87125,6.185,4.71208894759002
Gu-Minghong,2013,1,8.538,8.538,NA
Gu-Minghong,2014,1,6.661,6.661,NA
Gu-Minghong,2015,2,4.367,4.367,1.85261976670875
Gu-Minghong,2016,1,7.142,7.142,NA
Hambly-Catherine,2012,1,25.328,25.328,NA
Hambly-Catherine,2013,5,3.0484,2.914,0.300527536175972
Hambly-Catherine,2014,2,2.914,2.914,0
Hambly-Catherine,2015,2,18.422,18.422,22.9654140393767
Hambly-Catherine,2016,4,3.98525,4.071,1.79161293717886
Hambly-Catherine,2017,1,6.703,6.703,NA
Han-Fangpu,2011,4,4.98525,3.617,4.4552554266469
Han-Fangpu,2012,5,4.8594,3.981,1.34870245050567
Han-Fangpu,2013,10,6.5503,6.591,2.70643484434166
Han-Fangpu,2014,5,3.8424,3.981,2.93476784431069
Han-Fangpu,2015,7,5.14957142857143,3.981,2.29519148490512
Han-Fangpu,2016,4,5.5975,5.874,1.18696826691646
Han-Jin,2010,2,3.879,3.879,0.144249783362056
Han-Jin,2012,4,5.1435,4.9415,2.61468806297552
Han-Jin,2013,3,8.387,8.387,0
Han-Jin,2014,4,5.979,6.985,3.22955848375595
Han-Jin,2015,1,7.145,7.145,NA
Han-Jin,2016,3,4.833,5.228,1.41448753971182
Han-Jin,2017,1,5.228,5.228,NA
Han-Jing-Dong J,2010,3,9.457,11.351,6.51196061106024
Han-Jing-Dong J,2011,6,10.0916666666667,9.3125,5.11486385612234
Han-Jing-Dong J,2012,5,5.3188,5.76,2.77787179329788
Han-Jing-Dong J,2013,5,6.9754,5.76,4.58384819774826
Han-Jing-Dong J,2014,1,7.87,7.87,NA
Han-Jing-Dong J,2015,3,7.19566666666667,5.228,3.60030503337333
Han-Jing-Dong J,2016,2,4.4935,4.4935,0.727612877840957
Hou-Xianglin,2010,4,4.89075,4.5385,1.84489319925753
Hou-Xianglin,2011,2,8.387,8.387,0
Hou-Xianglin,2012,2,8.387,8.387,0
Hou-Xianglin,2013,2,4.664,4.664,5.26511709271503
Hou-Xianglin,2014,6,5.5635,5.1465,2.37805094562753
Hou-Xianglin,2015,3,5.94033333333333,7.441,3.45105916108857
Hou-Xianglin,2016,3,4.99066666666667,4.872,0.205536695831507
Hou-Xianglin,2017,1,5.228,5.228,NA
Hu-Chunsheng,2010,7,1.38657142857143,1.535,0.822403967472364
Hu-Chunsheng,2011,2,1.062,1.062,0.975807358037436
