Author,year,Number,meanIF,medianIF,sdIF
Xiao-Zhifeng,2016,5,6.2218,5.228,3.05790568853913
Xiao-Zhifeng,2017,2,5.228,5.228,0
Xie-Qi,2010,7,5.08742857142857,4.706,2.0829624622272
Xie-Qi,2011,12,6.50816666666667,6.28,3.1787639631362
Xie-Qi,2012,9,5.58644444444444,6.28,2.45661693753377
Xie-Qi,2013,12,5.92533333333333,5.874,2.15320384262122
Xie-Qi,2014,2,5.5615,5.5615,2.23516453533068
Xie-Qi,2015,10,7.5235,7.142,2.48633028332476
Xie-Qi,2016,13,6.65653846153846,6.28,1.96559463502289
Xu-Zhiheng,2010,5,3.866,3.981,0.51123722477926
Xu-Zhiheng,2011,1,2.446,2.446,NA
Xu-Zhiheng,2012,2,5.856,5.856,2.84822611461941
Xu-Zhiheng,2013,3,6.388,5.924,2.83165693543551
Xu-Zhiheng,2014,4,7.8955,7.1645,2.43172894596965
Xu-Zhiheng,2015,1,4.706,4.706,NA
Xu-Zhiheng,2016,9,9.82944444444444,6.459,6.41175105004692
Xu-Zhiheng,2017,2,19.447,19.447,6.5548798615993
Xue-Yongbiao,2010,6,6.3965,5.5725,3.7841548461975
Xue-Yongbiao,2011,2,5.7975,5.7975,3.87565226768347
Xue-Yongbiao,2012,4,12.873,4.7245,16.8586964502004
Xue-Yongbiao,2013,3,5.90266666666667,6.661,1.74666663486005
Xue-Yongbiao,2014,2,16.583,16.583,21.2598724831547
Xue-Yongbiao,2016,3,5.76766666666667,6.661,1.5472987214282
Xue-Yongbiao,2017,1,5.468,5.468,NA
Yan-Cunyu,2010,1,12.552,12.552,NA
Yan-Cunyu,2011,1,8.538,8.538,NA
Yan-Cunyu,2012,4,5.216,5.1335,3.77155714968411
Yan-Cunyu,2013,5,19.1198,6.28,19.7318826192535
Yan-Cunyu,2014,3,3.36333333333333,3.926,1.02256849811313
Yan-Cunyu,2015,2,5.086,5.086,0.835800215362499
Yan-Cunyu,2016,2,6.959,6.959,3.48462221768731
Yang-Wei-Cai,2010,3,5.27966666666667,3.67,2.82186681707931
Yang-Wei-Cai,2011,3,7.952,8.538,1.01498177323536
Yang-Wei-Cai,2012,3,4.38466666666667,3.817,1.68481937706489
Yang-Wei-Cai,2013,2,5.0995,5.0995,2.88853120114705
Yang-Wei-Cai,2014,2,6.2595,6.2595,3.2222856018671
Yang-Wei-Cai,2015,3,7.83266666666667,8.538,3.89716850204521
Yang-Wei-Cai,2016,4,12.34825,4.479,17.3158046376713
Yang-Wenlong,2011,5,3.255,3.867,0.968228795275166
Yang-Wenlong,2012,2,2.1865,2.1865,0.111015764646288
Yang-Wenlong,2013,4,12.614,4.6735,17.054609640798
Yang-Wenlong,2015,2,3.344,3.344,0.405879292401078
Yang-Wenlong,2016,2,3.776,3.776,1.01681955134626
Yang-Wenlong,2017,1,3.9,3.9,NA
Yang-Yonghui,2010,5,2.034,1.49,1.31830326556525
Yang-Yonghui,2011,3,2.914,2.768,0.814869314675672
Yang-Yonghui,2012,1,2.076,2.076,NA
Yang-Yonghui,2013,3,1.23033333333333,1.064,0.403115781548345
Yang-Yonghui,2014,2,3.0395,3.0395,0.00494974746830592
Yang-Yonghui,2015,1,3.085,3.085,NA
Yang-Yonghui,2016,1,3.511,3.511,NA
Zhang-Aimin,2010,4,3.63275,3.6505,0.456343711837178
Zhang-Aimin,2011,5,3.255,3.867,0.968228795275166
Zhang-Aimin,2012,6,2.44283333333333,2.1865,0.718659701574164
Zhang-Aimin,2013,5,10.7026,3.67,15.3756961565973
Zhang-Aimin,2014,1,3.9,3.9,NA
Zhang-Aimin,2015,4,3.7345,3.344,2.51523868979997
Zhang-Aimin,2016,2,3.776,3.776,1.01681955134626
Zhang-Aimin,2017,1,3.9,3.9,NA
Zhang-Jian,2010,1,18.699,18.699,NA
Zhang-Jian,2011,2,5.86,5.86,2.65730728369905
Zhang-Jian,2012,4,5.54475,5.02,2.36395831534032
Zhang-Jian,2013,3,7.615,7.142,1.62401016006674
Zhang-Jian,2014,1,7.023,7.023,NA
Zhang-Jian,2015,5,8.5592,6.28,4.36519755566687
Zhang-Jian,2016,8,5.796125,5.02,2.4201055725201
Zhang-Jian,2017,1,6.059,6.059,NA
Zhang-Jin-Song,2010,2,4.3535,4.3535,1.57614101526481
Zhang-Jin-Song,2011,4,5.184,5.468,1.08679130164597
Zhang-Jin-Song,2012,1,6.169,6.169,NA
Zhang-Jin-Song,2013,5,5.9606,6.28,1.4770865919099
Zhang-Jin-Song,2014,3,4.641,3.631,1.74937131564457
Zhang-Jin-Song,2015,10,5.8895,5.5725,1.25332679519571
Zhang-Jin-Song,2016,3,5.946,5.468,1.04269458615646
Zhang-Lei,2010,1,7.142,7.142,NA
Zhang-Lei,2011,1,7.739,7.739,NA
Zhang-Lei,2012,4,13.063,5.2265,16.7550432009788
Zhang-Lei,2013,3,14.3536666666667,7.142,15.0168603354141
Zhang-Lei,2014,3,2.74433333333333,3.257,1.25421263481649
Zhang-Lei,2015,3,6.383,4.159,4.29059296601297
Zhang-Lei,2016,4,7.16425,5.5615,5.4269463712724
Zhang-Wan-Ke,2010,2,4.3535,4.3535,1.57614101526481
Zhang-Wan-Ke,2011,3,5.08933333333333,5.468,1.31068773296058
Zhang-Wan-Ke,2012,2,4.2795,4.2795,2.67215652610396
Zhang-Wan-Ke,2013,5,5.9606,6.28,1.4770865919099
Zhang-Wan-Ke,2014,3,4.641,3.631,1.74937131564457
Zhang-Wan-Ke,2015,8,5.684125,5.468,1.31359783337867
Zhang-Wan-Ke,2016,3,5.946,5.468,1.04269458615646
Zhang-Wei,2011,1,5.766,5.766,NA
Zhang-Wei,2012,6,4.97016666666667,3.8315,3.75351959721362
Zhang-Wei,2014,2,4.02,4.02,2.64175093451294
Zhang-Wei,2015,2,2.2975,2.2975,0.267993470069702
Zhang-Wei,2016,3,5.573,5.677,1.62350023098243
Zhang-Wei,2017,1,2.304,2.304,NA
Zhang-Xiangqi,2011,2,5.1335,5.1335,2.93661446226773
Zhang-Xiangqi,2012,1,0.658,0.658,NA
Zhang-Xiangqi,2013,5,10.2808,3.257,15.5777188702326
Zhang-Xiangqi,2014,2,4.613,4.613,2.20051630305254
Zhang-Xiangqi,2015,5,4.3874,3.905,1.56677831871647
Zhang-Xiangqi,2016,3,3.998,3.257,2.38062323772578
Zhang-Yong Q,2010,5,3.3418,2.371,1.86402446335878
Zhang-Yong Q,2011,2,5.9545,5.9545,0.0431335136523794
Zhang-Yong Q,2012,2,5.9545,5.9545,0.0431335136523794
Zhang-Yong Q,2013,3,7.336,6.661,1.84457827158405
Zhang-Yong Q,2014,4,7.26375,6.9645,1.56745066376372
Zhang-Yong Q,2015,1,6.661,6.661,NA
Zhang-Yong Q,2016,3,5.116,4.706,1.38624492785366
Zhao-Yannan,2010,4,4.42475,3.52,2.71434465694146
Zhao-Yannan,2011,4,7.79225,8.387,1.1895
Zhao-Yannan,2012,4,5.1435,4.9415,2.61468806297552
Zhao-Yannan,2013,4,8.387,8.387,0
Zhao-Yannan,2014,4,5.979,6.985,3.22955848375595
Zhao-Yannan,2015,5,9.0452,7.441,3.25756369085855
Zhao-Yannan,2016,8,5.39375,5.05,2.69830077482637
Zhao-Yannan,2017,2,5.228,5.228,0
Zhou-Jian-Min,2010,1,12.552,12.552,NA
Zhou-Jian-Min,2011,1,4.145,4.145,NA
Zhou-Jian-Min,2012,5,19.6822,12.552,15.5073086381874
Zhou-Jian-Min,2013,3,15.918,9.423,16.484819956554
Zhou-Jian-Min,2014,3,10.4613333333333,12.552,3.62114088835733
Zhou-Jian-Min,2015,5,9.6924,8.538,3.84087240090061
Zhou-Jian-Min,2016,7,5.48857142857143,5.228,2.9184290784109
Zhou-Jian-Min,2017,1,12.552,12.552,NA
Zhou-Qi,2010,2,5.08,5.08,1.16248354827068
Zhou-Qi,2011,2,14.812,14.812,0
Zhou-Qi,2012,2,26.475,26.475,16.4939727779574
Zhou-Qi,2013,4,6.55425,4.1195,5.5246433595301
Zhou-Qi,2014,1,22.387,22.387,NA
Zhou-Qi,2015,2,14.423,14.423,11.2627968107393
Zhou-Qi,2016,6,12.3773333333333,10.8485,9.1770204242263
Zhou-Yihua,2010,3,5.70166666666667,5.468,0.404722538701927
Zhou-Yihua,2011,6,6.50933333333333,5.9785,2.12115550270758
Zhou-Yihua,2012,2,5.874,5.874,0.574170706323477
Zhou-Yihua,2013,2,6.9355,6.9355,0.388201622871415
Zhou-Yihua,2014,2,5.677,5.677,0
Zhou-Yihua,2015,3,7.30566666666667,7.21,1.18739392508692
Zhou-Yihua,2016,1,3.057,3.057,NA
Zhou-Yihua,2017,2,6.64,6.64,0.509116882454314
Zhu-Lihuang,2010,2,6.104,6.104,3.44219581081611
Zhu-Lihuang,2011,4,3.049,3.4125,1.66659193165774
Zhu-Lihuang,2012,2,5.145,5.145,4.79842661713191
Zhu-Lihuang,2013,7,4.25214285714286,3.9,1.8060947214521
Zhu-Lihuang,2014,4,3.0785,3.344,1.54400140328088
Zhu-Lihuang,2015,2,4.063,4.063,0.610940258945177
Zhu-Lihuang,2016,6,5.7575,5.228,2.05883974607059
Zhu-Lihuang,2017,1,4.495,4.495,NA
Zhu-Zhen,2010,1,7.142,7.142,NA
Zhu-Zhen,2011,1,3.67,3.67,NA
Zhu-Zhen,2012,5,4.198,3.905,1.24650471318804
Zhu-Zhen,2014,6,3.62,3.783,1.40286663656956
Zhu-Zhen,2015,4,2.85225,2.8575,1.08475231427886
Zhu-Zhen,2016,1,4.319,4.319,NA
Zuo-Jianru,2010,4,6.031,5.958,2.23644330727758
Zuo-Jianru,2011,2,5.519,5.519,1.07621652096593
Zuo-Jianru,2012,2,21.0595,21.0595,24.1526463249889
Zuo-Jianru,2013,7,8.789,7.142,3.18346011963922
Zuo-Jianru,2014,1,6.28,6.28,NA
Zuo-Jianru,2015,5,8.9962,6.28,3.91786653677738
Zuo-Jianru,2016,4,6.054,5.5615,2.73950664658195
